id,age,day_hatch,temp,egg_treat,sp,Weigth,Distance.moved1,Distance.moved2,Distance.moved3,mean_dist,Movement,Movement.1,Movement.2,Movement.3,Movement.4,Movement.5,mean_tohide,Time_snout_sec1,Time_snout_sec2,Time_snout_sec3,mean_snout,Time_emerge_sec1,Time_emerge_sec3,Time_emerge_sec3,mean_emerge,Notes.y,bd_liz_id.y,SVL,Tail,Total,Tail_intact,Notes,Notes.1,Notes.2.y,day,speed_1m_s1,speed_1m_s2,speed_1m_s3,mean_1m,burst_25cm1,burst_25cm2,burst_25cm3,mean_25cm
LD021_20,61,01-Dec-20,cold,ablated,Deli,0.503,1453.31,885.622,1036.1,1125.010667,225.279,1.99999,972.398,0.039999,NA,NA,53.5,364,280,NA,322,1610,2377,NA,1993.5,,LD021_20,28.506,NA,NA,Yes,tail tip is invisible,,,1,2.88,2.93,2.91,2.906666667,0.95,0.94,1.21,1.033333333
LD050_20,57,16/12/2020,cold,ablated,Deli,0.316,752.477,1162.87,951.825,955.724,134.24,11.48,1065.8,0.039999,NA,NA,166,493,203,332,342.6666667,932,NA,880,906,,LD050_20,24.177,36.386,60.563,Yes,,,,1,5.36,5.15,5.73,5.413333333,1.45,1.34,1.69,1.493333333
LD074_20,54,19/12/2020,cold,ablated,Deli,0.252,586.561,460.464,501.983,516.336,107.08,0.879997,1088.16,0.039999,NA,NA,15.33333333,NA,4369,NA,4369,NA,NA,NA,NA,,LD074_20,21.696,31.849,53.545,Yes,,,,1,3.3,2.65,2.83,2.926666667,1,0.89,0.92,0.936666667
LD090_20,57,16/12/2020,cold,ablated,Deli,0.288,430.128,677.178,NA,553.653,88.0798,43.0799,1111.96,0.039999,NA,NA,14.33333333,1341,NA,314,827.5,1373,1015,465,951,,LD090_20,23.669,35.379,59.048,Yes,,,,1,1.99,2.57,1.72,2.093333333,0.72,1.11,0.56,0.796666667
LD162_20,40,22/12/2020,cold,ablated,Deli,0.273,697.518,510.95,461.072,556.5133333,109.76,34.8399,1090.08,0.039999,NA,NA,5.333333333,452,1666,1512,1210,1491,2523,2752,2255.333333,,LD162_20,22.761,29.021,51.782,Yes,,,,1,2.83,2.74,3.24,2.936666667,0.83,0.9,1.25,0.993333333
LD173_20,39,23/12/2020,cold,ablated,Deli,0.25,637.227,NA,NA,637.227,124.36,2.07999,1075.68,0.039999,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,No tail,LD173_20,22.552,34.235,56.787,No,tail drop during running,,"DAY 3 All NA, WRONG",1,9.03,5.49,NA,7.26,4.78,3.32,0,2.7
LD178_20,50,23/12/2020,cold,ablated,Deli,0.252,636.461,750.275,914.252,766.996,136.32,0.039999,1063.72,1.99999,NA,NA,6,1826,1953,284,1354.333333,NA,NA,NA,NA,,LD178_20,21.618,34.018,55.636,Yes,,,,1,16.89,4.76,11.52,11.05666667,14.12,1.41,6.6,7.376666667
LD182_20,65,27/12/2020,cold,ablated,Deli,0.373,13.9047,710.525,1087.85,604.0932333,NA,0,NA,1200.04,1200.04,0.039999,4.666666667,1323,3211,3821,2785,2225,NA,4276,3250.5,,LD182_20,25.429,40.404,65.833,Yes,,,,1,2.76,2.52,19.19,8.156666667,1.06,0.86,11.09,4.336666667
LD186_20,39,23/12/2020,cold,ablated,Deli,0.29,618.339,552.22,104.514,425.0243333,119.52,5.99998,1080.52,0.039999,NA,NA,7.333333333,1856,1641,1644,1713.666667,2999,3243,3305,3182.333333,,LD186_20,23.113,32.654,55.767,Yes,,,,1,4.02,4.09,4.63,4.246666667,1.37,1.23,1.74,1.446666667
LD202_20,59,24/12/2020,cold,ablated,Deli,0.262,993.559,753.294,1030.58,925.811,1.14,209.759,56.2799,5.26918,974.798,0.039999,18.33333333,1001,2513,1804,1772.666667,3752,1922,2008,2560.666667,,LD202_20,22.082,NA,NA,Yes,,,,1,2.82,2.55,5.02,3.463333333,0.83,0.76,2.74,1.443333333
LD241_20,37,25/12/2020,cold,ablated,Deli,0.251,781.715,438.321,381.497,533.8443333,160.64,25.5199,1039.4,0.039999,NA,NA,16,NA,782,NA,782,NA,NA,NA,NA,,LD241_20,21.882,33.909,55.791,Yes,,,,1,3.24,3.07,4.84,3.716666667,1.04,1.15,1.35,1.18
LD243_20,37,25/12/2020,cold,ablated,Deli,0.211,1406.93,898.235,764.838,1023.334333,184.4,0.039999,1015.4,0.759998,NA,NA,21.33333333,2529,NA,121,1325,2751,3275,667,2231,,LD243_20,22.596,31.302,53.898,Yes,,,,1,4.5,5.1,8.29,5.963333333,1.26,1.45,2.74,1.816666667
LD257_20,45,28/12/2020,cold,ablated,Deli,0.259,485.262,350.198,777.678,537.7126667,66.3198,62.8398,1133.72,0.039999,NA,NA,5.666666667,3523,NA,1238,2380.5,3776,2689,3108,3191,,LD257_20,21.873,33.795,55.668,Yes,,,,1,4.97,4.56,3.68,4.403333333,2.08,1.47,1.36,1.636666667
LD282_20,44,29/12/2020,cold,ablated,Deli,0.229,537.094,538.044,505.737,526.9583333,84.3198,0.039999,1115.72,0.119999,NA,NA,6.333333333,3719,NA,NA,3719,NA,NA,NA,NA,,LD282_20,23.016,31.173,54.189,Yes,,,,1,7.03,5.35,5.78,6.053333333,2.42,1.45,1.82,1.896666667
LD292_20,53,30/12/2020,cold,ablated,Deli,0.327,1334.11,1238.84,1425.68,1332.876667,232.559,0.039999,967.478,0.079999,NA,NA,19,552,NA,1544,1048,979,1497,2622,1699.333333,,LD292_20,23.439,41.258,64.697,Yes,,,,1,2.53,2.45,3.22,2.733333333,0.77,0.87,1.01,0.883333333
LD311_20,52,31/12/2020,cold,ablated,Deli,0.276,496.236,620.098,519.224,545.186,0.836398,83.6398,50.9999,11.0024,1100.24,0.039999,10.66666667,NA,4219,NA,4219,NA,NA,NA,NA,,LD311_20,22.91,32.631,55.541,Yes,,,,1,61.55,9.01,9.78,26.78,26.49,3.74,7.79,12.67333333
LD333_20,59,2/1/2021,cold,ablated,Deli,0.263,1207.88,1101.21,1341.85,1216.98,1.90504,234.319,117.48,7.76256,962.558,0.039999,7.333333333,1318,1143,505,988.6666667,1594,1889,1192,1558.333333,,LD333_20,22.451,32.773,55.224,Yes,,,,1,16.83,25.94,20.13,20.96666667,10.02,17.3,16.29,14.53666667
LD358_20,49,3/1/2021,cold,ablated,Deli,0.192,552.688,588.665,790.438,643.9303333,100.6,25.3599,1099.44,0.039999,NA,NA,2.666666667,2191,NA,2315,2253,3328,4178,3541,3682.333333,,LD358_20,20.821,24.967,45.788,Yes,,,,1,7.84,48.8,2.78,19.80666667,5.87,31.72,0.84,12.81
LD378_20,45,7/1/2021,cold,ablated,Deli,0.299,1000.78,551.268,869.699,807.249,201.439,11.8,992.358,0.039999,NA,NA,3.666666667,881,686,126,564.3333333,4296,3834,1808,3312.666667,,LD378_20,22.926,30.196,53.122,Yes,,,,1,9.9,6.28,9.99,8.723333333,3.19,1.75,2.86,2.6
LD386_20,52,9/1/2021,cold,ablated,Deli,0.334,433.209,537.732,466.942,479.2943333,85.2798,17.08,1114.76,0.039999,NA,NA,11.66666667,793,2352,316,1153.666667,1367,NA,883,1125,,LD386_20,23.609,29.225,52.834,Yes,,,,1,6.57,3.4,3.34,4.436666667,1.96,1.09,1.12,1.39
LD390_20,46,6/1/2021,cold,ablated,Deli,0.242,673.695,846.309,917.995,812.6663333,110.92,62.7598,1089.12,0.039999,NA,NA,22.66666667,NA,NA,1803,1803,NA,2547,NA,2547,,LD390_20,21.512,32.253,53.765,Yes,,,,1,4.11,2.86,7.85,4.94,1.7,1.03,5.13,2.62
LD408_20,53,8/1/2021,cold,ablated,Deli,0.349,NA,228.458,241.621,235.0395,NA,NA,NA,NA,NA,NA,4.666666667,3973,4088,4847,4302.666667,NA,NA,NA,NA,,LD408_20,25.893,34.618,60.511,Yes,,,,1,5.28,3.99,4.58,4.616666667,1.94,1.38,1.23,1.516666667
LD046_20,68,24/11/2020,hot,ablated,Deli,0.321,605.448,591.039,63.0032,419.8300667,85.4398,0.079999,1108.04,0.039999,NA,NA,242.3333333,NA,187,NA,187,NA,NA,NA,NA,,LD046_20,25.036,40.75,65.786,Yes,,,,1,4.85,15.11,12.08,10.68,1.31,8.54,4.26,4.703333333
LD058_20,68,24/11/2020,hot,ablated,Deli,0.398,531.908,705.409,467.619,568.312,0.957301,85.1998,90.4398,12.3871,1114.84,0.039999,31,1416,1592,1147,1385,1750,1920,1260,1643.333333,,LD058_20,25.3,45.39,70.69,Yes,,,,1,2.81,2.91,2.85,2.856666667,0.88,1.18,0.8,0.953333333
LD061_20,78,25/11/2020,hot,ablated,Deli,0.486,371.93,478.921,877.755,576.202,53.5599,86.3598,1146.48,0.039999,NA,NA,4.333333333,NA,NA,3860,3860,NA,NA,NA,NA,,LD061_20,30.147,44.976,75.123,Yes,wrong V1.1,,,1,2.12,4.91,2.64,3.223333333,0.79,1.68,0.82,1.096666667
LD163_20,89,3/12/2020,hot,ablated,Deli,0.403,1159.09,142.735,462.851,588.2253333,143.4,8.11998,1056.64,0.039999,NA,NA,3.333333333,4215,NA,2558,3386.5,5132,NA,NA,5132,,LD163_20,26.14,43.022,69.162,Yes,,,,1,6.21,5.35,6.25,5.936666667,1.77,1.64,1.74,1.716666667
LD183_20,76,7/12/2020,hot,ablated,Deli,0.476,579.753,602.08,240.34,474.0576667,101.88,72.6798,1098.16,0.039999,NA,NA,13.33333333,1524,4766,4628,3639.333333,3423,4286,NA,3854.5,,LD183_20,27.473,NA,NA,Yes,,V2.3 wrong,,1,2.16,6.39,8.17,5.573333333,0.68,5.11,5.73,3.84
LD191_20,58,4/12/2020,hot,ablated,Deli,0.363,886.822,1232.79,1416.11,1178.574,149.96,0.039999,1050.08,0.999997,NA,NA,9,4722,NA,3134,3928,NA,NA,3637,3637,,LD191_20,26.108,39.914,66.022,Yes,,,,1,6.69,3.98,6.96,5.876666667,2.85,1.49,2.06,2.133333333
LD227_20,68,5/12/2020,hot,ablated,Deli,0.322,813.81,891.769,793.288,832.9556667,151.92,17.04,1013.8,0.039999,NA,NA,17.66666667,4729,991,4382,3367.333333,NA,NA,NA,NA,,LD227_20,27.068,NA,NA,Yes,tail tip is invisible,,,1,7.17,13.66,15.03,11.95333333,2.19,4.12,5.55,3.953333333
LD242_20,75,8/12/2020,hot,ablated,Deli,0.471,464.31,462.089,730.126,552.175,1.1259,68.6798,10.08,17.9935,1115.6,0.039999,19.66666667,497,NA,2605,1551,NA,3681,4177,3929,,LD242_20,26.523,42.097,68.62,Yes,,,,1,2.89,3.27,3.82,3.326666667,0.78,1.08,1.01,0.956666667
LD258_20,54,8/12/2020,hot,ablated,Deli,0.257,718.987,846.211,809.597,791.5983333,1.5456,115.92,157.96,14.2647,1084.12,0.039999,13.66666667,1580,704,2872,1718.666667,2534,3061,4074,3223,,LD258_20,23.566,36.614,60.18,Yes,,,,1,6.42,3.66,3.83,4.636666667,1.99,1.04,1.2,1.41
LD264_20,72,11/12/2020,hot,ablated,Deli,0.383,823.588,595.951,786.662,735.4003333,144.4,22.5999,1055.64,0.039999,NA,NA,3.666666667,3155,2476,2040,2557,4428,4928,4263,4539.666667,,LD264_20,25.559,40.586,66.145,Yes,,,,1,2.53,3.02,2.46,2.67,0.78,0.99,0.89,0.886666667
LD281_20,72,11/12/2020,hot,ablated,Deli,0.429,492.34,589.857,206.895,429.6973333,98.0798,624.118,1094.88,0.039999,NA,NA,42.66666667,NA,335,39,187,NA,NA,4419,4419,,LD281_20,26.948,37.733,64.681,Yes,,,,1,3.36,2.69,3.78,3.276666667,1.17,0.92,1.45,1.18
LD312_20,79,13/12/2020,hot,ablated,Deli,0.325,307.11,191.535,400.088,299.5776667,53.6799,519.399,1146.36,0.039999,NA,NA,1.333333333,867,1463,2023,1451,3492,NA,NA,3492,,LD312_20,24.108,40.238,64.346,Yes,,,,1,3.8,4.56,5.13,4.496666667,1.11,1.67,2.63,1.803333333
LD361_20,44,18/12/2020,hot,ablated,Deli,0.257,927.828,949.495,1034.77,970.6976667,1.10836,182.88,2.59999,6.16459,1017.16,0.039999,25.33333333,1364,NA,2044,1704,2630,3739,2914,3094.333333,,LD361_20,21.392,35.761,57.153,Yes,,,,1,3.61,4.84,8.75,5.733333333,1.41,1.88,3.11,2.133333333
LD365_20,58,15/12/2020,hot,ablated,Deli,0.256,1121.04,1266.5,1535.96,1307.833333,181.2,28.3199,985.758,0.039999,NA,NA,14.33333333,5624,1875,332,2610.333333,NA,1361,424,892.5,,LD365_20,22.08,34.559,56.639,Yes,,,,1,3.36,4.15,3.4,3.636666667,1.15,1.33,1.02,1.166666667
LD374_20,54,19/12/2020,hot,ablated,Deli,0.228,589.483,474.413,769.589,611.1616667,1.24413,108.24,212.279,12.4068,1091.8,0.039999,6.666666667,NA,5031,NA,5031,NA,NA,NA,NA,,LD374_20,21.585,NA,NA,Yes,tail tip is invisible,,,1,5.15,4.31,6.22,5.226666667,1.52,1.2,2.03,1.583333333
LD383_20,54,19/12/2020,hot,ablated,Deli,0.242,580.773,260.107,404.973,415.2843333,1.19647,122.04,4.79999,10.2884,1070,0.039999,36.66666667,NA,1451,NA,1451,NA,NA,NA,NA,,LD383_20,23.146,35.483,58.629,Yes,,,,1,3.59,3.21,3.22,3.34,1.16,0.95,0.93,1.013333333
LD387_20,61,22/12/2020,hot,ablated,Deli,0.418,816.123,861.485,480.632,719.4133333,151.64,151.92,960.878,0.039999,NA,NA,10.33333333,1282,1287,1351,1306.666667,2582,2737,2276,2531.666667,,LD387_20,27.17,41.069,68.239,Yes,,,,1,3.88,4.01,5.23,4.373333333,1.34,1.28,1.86,1.493333333
LD423_20,58,25/12/2020,hot,ablated,Deli,0.28,723.583,803.434,558.782,695.2663333,1.22348,133.36,149.88,9.46179,1040.8,0.039999,5.666666667,719,2125,1327,1390.333333,1610,1707,1926,1747.666667,,LD423_20,23.383,28.544,51.927,No,,drop 1cm tail,,1,7.55,6.64,12.5,8.896666667,2.11,2.03,4.12,2.753333333
LD430_20,36,26/12/2020,hot,ablated,Deli,0.226,1328.12,326.009,NA,827.0645,223.679,0.119999,976.358,0.039999,NA,NA,27.5,2449,1934,NA,2191.5,NA,841,NA,841,,LD430_20,NA,NA,NA,Yes,cannot see cloaca,V2.2 wrong,"DAY 3 All NA, WRONG",1,4.23,5.96,NA,5.095,1.33,1.6,0,0.976666667
LD442_20,45,28/12/2020,hot,ablated,Deli,0.238,670.84,811.828,779.085,753.9176667,119.2,3.39999,1080.84,0.039999,NA,NA,5,NA,NA,1793,1793,NA,NA,2457,2457,,LD442_20,22.747,NA,NA,Yes,tail tip is invisible,,,1,2.99,2.68,2.34,2.67,0.89,0.81,0.66,0.786666667
LD482_20,61,31/12/2020,hot,ablated,Deli,0.308,366.715,192.998,387.933,315.882,1.1453,56.1199,287.679,22.8783,1143.92,0.039999,6.333333333,NA,2462,NA,2462,NA,NA,NA,NA,,LD482_20,23.152,36.71,59.862,Yes,,,,1,5.24,4.82,5.34,5.133333333,1.52,1.5,1.51,1.51
LD490_20,60,1/1/2021,hot,ablated,Deli,0.291,251.52,646.936,199.68,366.0453333,0.713468,34.9599,22.0399,23.3015,1165.08,0.039999,19.33333333,NA,838,4604,2721,NA,NA,NA,NA,,LD490_20,24.117,36.264,60.381,Yes,,,,1,4.83,5.07,5.45,5.116666667,1.45,1.54,1.55,1.513333333
LD027_20,54,8/12/2020,cold,control,Deli,0.324,661.613,429.848,722.443,604.6346667,1.0958,130.4,0.279999,8.91364,1069.64,0.039999,11.66666667,2887,521,932,1446.666667,3724,1994,2376,2698,,LD027_20,25.34,36.999,62.339,Yes,,,,1,2.71,3.13,2.38,2.74,1.07,1.24,0.65,0.986666667
LD035_20,66,7/12/2020,cold,control,Deli,0.359,62.0564,321.274,45.4606,142.9303333,6.91998,499.639,1193.12,0.039999,NA,NA,14.66666667,2036,3493,802,2110.333333,5219,2806,2945,3656.666667,,LD035_20,26.035,35.531,61.566,Yes,,,,1,3.21,3.03,3.19,3.143333333,1.21,0.91,1.08,1.066666667
LD047_20,52,10/12/2020,cold,control,Deli,0.345,482.63,638.514,249.61,456.918,0.852306,77.5598,148.64,12.2008,1122.48,0.039999,11.66666667,4844,3540,3017,3800.333333,NA,NA,4049,4049,,LD047_20,25.286,NA,NA,Yes,tail tip is invisible,,,1,2.84,3.33,3.25,3.14,0.76,0.95,1,0.903333333
LD049_20,48,14/12/2020,cold,control,Deli,0.288,1582.96,640.813,861.285,1028.352667,0.80696,273.559,85.9198,2.72493,926.478,0.039999,9.333333333,3796,174,NA,1985,5023,NA,NA,5023,,LD049_20,23.907,36.375,60.282,Yes,,,,1,3.11,2.57,2.52,2.733333333,1.15,0.71,0.69,0.85
LD065_20,69,14/12/2020,cold,control,Deli,0.55,612.983,634.758,128.411,458.7173333,1.16141,98.7198,250.999,12.6214,1085.44,0.039999,10.33333333,798,4880,1987,2555,3266,2455,2589,2770,,LD065_20,NA,NA,NA,Yes,"no photo, probably with wrong ID (LD064)",,,1,3.84,2.94,4.49,3.756666667,1.27,0.79,1.49,1.183333333
LD076_20,55,18/12/2020,cold,control,Deli,0.311,980.76,788.581,927.053,898.798,158.76,46.2399,1023.16,0.039999,NA,NA,6.333333333,1017,1039,4253,2103,3492,4013,NA,3752.5,,LD076_20,26.254,39.122,65.376,Yes,,,,1,5.6,5.94,5.75,5.763333333,1.84,1.7,1.72,1.753333333
LD169_20,50,23/12/2020,cold,control,Deli,0.328,654.254,802.726,1029.81,828.93,1.00991,122.2,0.039999,8.90775,1077.84,0.679998,2.333333333,1646,2755,3707,2702.666667,3649,4968,5482,4699.666667,,LD169_20,24.75,34.177,58.927,Yes,,,,1,2.85,2.44,2.66,2.65,0.83,0.71,0.75,0.763333333
LD181_20,50,23/12/2020,cold,control,Deli,0.258,31.7252,201.996,173.007,135.5760667,NA,0,NA,1200.04,1200.04,0.039999,12,3267,6066,2146,3826.333333,3626,NA,2294,2960,,LD181_20,23.755,36.369,60.124,Yes,,,,1,2.98,2.62,2.49,2.696666667,0.97,0.86,0.75,0.86
LD185_20,64,28/12/2020,cold,control,Deli,0.296,1063.4,851.147,911.627,942.058,1.27561,209.199,4.39999,6.00508,990.838,0.039999,2.666666667,3671,NA,2511,3091,NA,NA,NA,NA,,LD185_20,23.516,31.79,55.306,Yes,,,,1,4.2,9.95,4.03,6.06,1.4,6.54,1.21,3.05
LD201_20,47,26/12/2020,cold,control,Deli,0.268,620.13,1010.92,912.871,847.9736667,137.72,338.719,1062.32,0.039999,NA,NA,7,NA,NA,1423,1423,NA,NA,2029,2029,,LD201_20,23.051,38.254,61.305,Yes,,,,1,2.65,3.04,4.65,3.446666667,0.82,0.92,2.97,1.57
LD209_20,38,24/12/2020,cold,control,Deli,0.255,315.902,486.965,930.684,577.8503333,0.85049,51.8799,4.27999,18.5187,1148.16,0.039999,22.33333333,799,3101,896,1598.666667,3902,3572,946,2806.666667,,LD209_20,22.109,36.438,58.547,Yes,,Second run; turn back several times,,1,2.49,10.11,3.16,5.253333333,0.83,5.58,1.38,2.596666667
LD238_20,50,23/12/2020,cold,control,Deli,0.24,567.284,884.971,886.48,779.5783333,1.26181,111.04,239.519,12.2359,1089,0.039999,8.666666667,3274,2800,1475,2516.333333,4642,1702,2156,2833.333333,,LD238_20,22.569,31.419,53.988,Yes,,,,1,3.12,2.63,2.5,2.75,1.06,0.73,0.73,0.84
